ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,E0(VvsSHE),G_solv
286,,COC(=O)C1=C(C(=O)OC)C2=C(C(=O)OC)C(=O)C(C(=O)OC)=C(C(=O)OC)C2=C(C(=O)OC)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,HPBHTUHSGCSDQL-UHFFFAOYSA-N,1.11,-73.37
287,,N#Cc1ccc2c(c1)=CC(=O)C(=O)C=2,O=C1C=c2ccccc2=CC1=O,Oxidized,JVYNXBWARZDYFF-UHFFFAOYSA-N,1.11,-29.36
288,,Cc1c2c(cc3ccccc13)=CC(=O)C(=O)C=2,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,NMUAGULVYZHXLE-UHFFFAOYSA-N,1.11,-14.08
289,,O=C1C(=O)C(C(F)(F)F)=C(C(F)(F)F)C(C(F)(F)F)=C1C(F)(F)F,O=C1C=CC=CC1=O,Oxidized,SEELRXRWGCCMHV-UHFFFAOYSA-N,1.11,-33.91
290,,Cc1cccc2cc3c(cc12)=CC(=O)C(=O)C=3,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,TVKJFWNPRRNFLB-UHFFFAOYSA-N,1.11,-62.91
291,,O=C1C=c2cccc(C(F)(F)F)c2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,WNYZXTOLUVPYLJ-UHFFFAOYSA-N,1.11,-45.01
292,,O=C1C=c2cccc(C(=O)O)c2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,DELOJBDDLQFFHG-UHFFFAOYSA-N,1.12,-69.72
293,,O=C1C=c2cc3cccc(S)c3cc2=CC1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,GOEDMNNFFCUJJL-UHFFFAOYSA-N,1.12,-62.89
294,,O=C1C=c2cc3ccccc3cc2=C(S)C1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,LLZUYQQBTKOIIG-UHFFFAOYSA-N,1.12,-60.74
295,"5,6-dioxocyclohexa-1,3-diene-1,2,3,4-tetracarboxylic acid",O=C(O)C1=C(C(=O)O)C(C(=O)O)=C(C(=O)O)C(=O)C1=O,O=C1C=CC=CC1=O,Oxidized,RSMFTILRHLRSNZ-UHFFFAOYSA-N,1.12,-107.66
296,,C=Cc1cccc2cc3c(cc12)=CC(=O)C(=O)C=3,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,VVLFEFPGIXRGSK-UHFFFAOYSA-N,1.12,-52.71
297,,O=C1C=c2cc3ccccc3c(S)c2=CC1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,VZVRNEXVZBZOSC-UHFFFAOYSA-N,1.12,-38.21
