ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Hammett_sigma,QQ.(VvsNHE),Q.Q=(VvsNHE)
220,"2-(2-hydroxyethyl)anthracene-9,10-dione",O=C1c2ccccc2C(=O)c2cc(CCO)ccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,VXGBURHGPCEMPN-UHFFFAOYSA-N,0.0,-0.59,-1.302
221,"2-methylsulfonylanthracene-9,10-dione",CS(=O)(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,BLDUUWWNHUUEJH-UHFFFAOYSA-N,0.9,-0.358,-1.045
222,"2,6-bis(methylsulfonyl)anthracene-9,10-dione",CS(=O)(=O)c1ccc2c(c1)C(=O)c1ccc(S(C)(=O)=O)cc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,VHFQKTGTOFLANL-UHFFFAOYSA-N,1.8,-0.158,-0.842
223,"2,7-bis(methylsulfonyl)anthracene-9,10-dione",CS(=O)(=O)c1ccc2c(c1)C(=O)c1cc(S(C)(=O)=O)ccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,PFHJZDTWXICUKU-UHFFFAOYSA-N,1.8,-0.154,-0.825
224,"9,10-dioxoanthracene-2-sulfonamide",NS(=O)(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,YDQLKRJCKPVXDL-UHFFFAOYSA-N,0.57,-0.442,
225,"9,10-dioxoanthracene-2,6-disulfonamide",NS(=O)(=O)c1ccc2c(c1)C(=O)c1ccc(S(N)(=O)=O)cc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,KMUCUPHKWSBGKA-UHFFFAOYSA-N,1.14,-0.307,-0.816
226,"9,10-dioxoanthracene-2,7-disulfonamide",NS(=O)(=O)c1ccc2c(c1)C(=O)c1cc(S(N)(=O)=O)ccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,YCQGWFGTBJAOFM-UHFFFAOYSA-N,1.14,-0.298,
227,"methyl 9,10-dioxoanthracene-2-carboxylate",COC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,JJFLSBOGTGPZMM-UHFFFAOYSA-N,0.45,-0.451,-1.16
228,"9,10-dioxoanthracene-1-sulfonic acid",O=C1c2ccccc2C(=O)c2c1cccc2S(=O)(=O)O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,JAJIPIAHCFBEPI-UHFFFAOYSA-N,,-0.621,
229,"9,10-dioxoanthracene-2-sulfonic acid",O=C1c2ccccc2C(=O)c2cc(S(=O)(=O)O)ccc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,MMNWSHJJPDXKCH-UHFFFAOYSA-N,,-0.594,-1.232
230,"9,10-dioxoanthracene-1,5-disulfonic acid",O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc(S(=O)(=O)O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,OZTBHAGJSKTDGM-UHFFFAOYSA-N,,-0.632,
231,"9,10-dioxoanthracene-2,6-disulfonic acid",O=C1c2ccc(S(=O)(=O)O)cc2C(=O)c2ccc(S(=O)(=O)O)cc21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,MSSUFHMGCXOVBZ-UHFFFAOYSA-N,,-0.593,-1.206
